"species","decimalLatitude","decimalLongitude","family","a_habit","habitat_iucn","habitat_name"
"Barleria ramulosa",-7.25,37.1667,"Acanthaceae","shrub",201,"Savanna – Dry"
"Barleria granarii",-7.66667,35.1667,"Acanthaceae","shrub",201,"Savanna – Dry"
"Barleria holstii",-7.2,37.2167,"Acanthaceae","herb",201,"Savanna – Dry"
"Barleria aristata",-7.6,36.3167,"Acanthaceae","herb",201,"Savanna – Dry"
"Barleria spinulosa",-9.11777,39.1472,"Acanthaceae","herb",201,"Savanna – Dry"
"Barleria prionitis",-9.565,39.2836,"Acanthaceae","shrub",105,"Forest – Subtropical/tropical dry"
"Barleria volkensii",-3.28361,35.4175,"Acanthaceae","shrub",109,"Forest – Subtropical/tropical moist montane"
"Barleria tanzaniana",-6.94694,36.6281,"Acanthaceae","herb",307,"Shrubland – Subtropical/tropical high altitude"
"Barleria tanzaniana",-6.905,39.083,"Acanthaceae","herb",105,"Forest – Subtropical/tropical dry"
"Barleria grandis",-4.86666,35.2075,"Acanthaceae","shrub",305,"Shrubland – Subtropical/tropical dry"
"Barleria spinulosa",-9.56666,34.1167,"Acanthaceae","herb",505,"Wetlands (inland) – Permanent freshwater lakes (>8 ha)"
"Barleria calophylloides",-4.935,35.1672,"Acanthaceae","herb",201,"Savanna – Dry"
"Barleria grandicalyx",-3.44888,36.7039,"Acanthaceae","herb",201,"Savanna – Dry"
"Barleria fulvostellata",-7.28333,37.2,"Acanthaceae","shrub",105,"Forest – Subtropical/tropical dry"
"Barleria scandens",-6.08333,37.4167,"Acanthaceae","herb",201,"Savanna – Dry"
"Barleria submollis",-4.86861,35.3128,"Acanthaceae","herb",1401,"Artificial – Arable Land"
"Barleria holstii",-10.1025,39.2178,"Acanthaceae","herb",201,"Savanna – Dry"
"Barleria calophylloides",-4.9525,35.2281,"Acanthaceae","herb",202,"Savanna – Moist"
