"species"
"sphaeranthus confertifolius"
"sphaeranthus fischeri"
"sphaeranthus oppositifolius"
"stenops helodes"
"vernonella chthonocephala"
"vernonella denudata"
"vernonella kirkii"
"vernonella luembensis"
"vernonella praemorsa"
"vernonella subaphylla"
"vernonia kandtii"
"vernonia kigomae"
"vernonia melanocoma"
"vernonia miamensis"
"vernonia neumanniana"
"vernonia parapetersii"
"vernonia roseoviolacea"
"vernonia tinctosetosa"
"vernonia zernyi"
"vernoniastrum ambiguum"
"vernoniastrum latifolium"
"vernoniastrum paraemulans"
"vernoniastrum ugandense"
"vicoa indica"
"thonningia sanguinea"
"impatiens briartii"
"impatiens butu"
"impatiens ndovu"
"impatiens nguruensis"
"impatiens pallide-rosea"
"impatiens tinctoria"
"impatiens tweedieae"
"begonia stolzii"
"begonia tayloriana"
"begonia wollastonii"
"tecomaria capensis"
"tecomaria nyassae"
"afrotysonia pilosicaulis"
"bourreria nemoralis"
"bourreria petiolaris"
"bourreria teitensis"
"cordia fischeri"
"cordia millenii"
"cordia quercifolia"
"cystostemon barbatus"
"ehretia coerulea"
"ehretia rosea"
"ehretia uhehensis"
"euploca bullockii"
"euploca katangensis"
"euploca rariflora"
"heliotropium arboreum"
"heliotropium giessii"
"heliotropium harareense"
"heliotropium simile"
"myosotis abyssinica"
"trichodesma inaequale"
"crambe hispanica"
"lepidium armoracium"
"lepidium englerianum"
"mummenhoffia oliveri"
"oreophyton falcatum"
"rorippa nudiuscula"
"sisymbrium erysimoides"
"subularia monticola"
"turritis glabra"
"gymnosiphon afro-orientalis"
"gymnosiphon danguyanus"
"boswellia neglecta"
"canarium liebertianum"
"canarium schweinfurthii"
"commiphora confusa"
"commiphora engleri"
"commiphora madagascariensis"
"commiphora samharensis"
"brasenia schreberi"
"calophyllum inophyllum"
"canarina abyssinica"
"canarina zanguebar"
"cyphia richardsiae"
"gunillaea emirnensis"
"lobelia burttii"
"lobelia chireensis"
"lobelia duriprati"
"lobelia rubescens"
"lobelia sapinii"
"lobelia sonderiana"
"lobelia stricklandiae"
"lobelia uliginosa"
"wahlenbergia collomioides"
"wahlenbergia flexuosa"
"wahlenbergia hookeri"
"wahlenbergia paludicola"
"wahlenbergia perrottetii"
"wahlenbergia scottii"
"wahlenbergia silenoides"
"wahlenbergia songeana"
"wahlenbergia undulata"
"celtis mauritiana"
"sparrea gomphophylla"
"trema orientale"
"boscia coriacea"
"boscia integrifolia"
"boscia rotundifolia"
"cadaba carneoviridis"
"cadaba glandulosa"
"cadaba ruspolii"
"cadaba stenopoda"
"capparis cartilaginea"
"crateva kirkii"
"maerua macrantha"
"ritchiea platyphylla"
"thilachium macrophyllum"
"cephalaria goetzei"
"cephalaria katangensis"
"scabiosa austroafricana"
"valeriana kilimandscharica"
"valeriana volkensii"
"arenaria leptoclados"
"cerastium lanceolatum"
"corrigiola capensis"
"corrigiola drymarioides"
"minuartia filifolia"
"polycarpaea linearifolia"
"sagina afroalpina"
"silene afromontana"
"silene lomalasinensis"
"silene macrosolen"
"spergula arvensis"
"stellaria sennii"
"campylostemon laurentii"
"crossopetalum mossambicense"
"gymnosporia beniensis"
"gymnosporia brevipetala"
"gymnosporia buxifolioides"
"gymnosporia intermedia"
"gymnosporia maranguensis"
"hippocratea stuhlmanniana"
"maytenus undata"
"pristimera goetzei"
"pristimera scheffleri"
"trochantha graciliflora"
"cleome angustifolia"
"cleome macrophylla"
"cleome oligandra"
"cleome rutidosperma"
"cleome scaposa"
"cleome strigosa"
"cleome tenella"
"garcinia bussei"
"garcinia pachyclada"
"garcinia smeathmanii"
"colchicum striatum"
"iphigenia pauciflora"
"ornithoglossum vulgare"
"combretum acutifolium"
"combretum contractum"
"combretum coriifolium"
"combretum littoreum"
"combretum microphyllum"
"combretum oatesii"
"combretum patelliforme"
"combretum pisoniiflorum"
"terminalia anisoptera"
"terminalia apetala"
"terminalia bagamoyoana"
"terminalia brevipes"
"terminalia dolichocarpa"
"terminalia emarginata"
"terminalia morogorensis"
"terminalia mpapwensis"
"terminalia myrtifolia"
"terminalia schimperiana"
"terminalia tetraptera"
"aneilema brenanianum"
"aneilema calceolus"
"aneilema chrysopogon"
"aneilema clarkei"
"aneilema indehiscens"
"aneilema macrorrhizum"
"aneilema recurvatum"
"aneilema richardsiae"
"aneilema termitarium"
"aneilema umbrosum"
"coleotrype udzungwaensis"
"commelina albescens"
"commelina bracteosa"
"commelina chayaensis"
"commelina diffusa"
"commelina eckloniana"
"commelina forskaolii"
"commelina kotschyi"
"commelina pallidispatha"
"commelina ramulosa"
"commelina reptans"
"commelina scandens"
"commelina scaposa"
"commelina sulcatisperma"
"commelina trilobosperma"
"cyanotis arachnoidea"
"floscopa confusa"
"murdannia axillaris"
"murdannia sepalosa"
"murdannia tenuissima"
"connarus longestipitatus"
"omphalobium scandens"
"astripomoea cephalantha"
"astripomoea lachnosperma"
"calycobolus campanulatus"
"camonea pilosa"
"convolvulus aschersonii"
"convolvulus siculus"
"convolvulus thomsonii"
"cressa cretica"
"cuscuta approximata"
"cuscuta cassytoides"
"cuscuta scandens"
"cuscuta somaliensis"
