species,family,genus,order,primary_habit,secondary_habit,n_records,n_coords,mean_lat,mean_lon
Cyperus bulbosus var. melanolepis,Cyperaceae,Cyperus,Poales,herb,NA,1,1,-3.76667,37.65
Cyperus chinsalensis,Cyperaceae,Cyperus,Poales,herb,NA,1,1,-8.5,31.4833
Cyperus ciliatopilosus,Cyperaceae,Cyperus,Poales,herb,NA,1,1,-8.83333,33.3333
Cyperus colymbetes,Cyperaceae,Cyperus,Poales,herb,NA,1,1,-2.55305,33.4003
Cyperus compressus var. validus,Cyperaceae,Cyperus,Poales,herb,NA,1,1,-5.18333,38.75
Cyperus costatus subsp. costatus,Cyperaceae,Cyperus,Poales,herb,NA,1,1,-2.88333,35.1
Cyperus cyperoides subsp. pseudoflavus,Cyperaceae,Cyperus,Poales,herb,NA,1,1,-8.83333,33.3333
Cyperus cyperoides var. aureus,Cyperaceae,Cyperus,Poales,herb,NA,1,1,-5.05,32.7333
Cyperus demangei,Cyperaceae,Cyperus,Poales,herb,NA,1,1,-5.58333,34.065
Cyperus denudatus var. denudatus,Cyperaceae,Cyperus,Poales,herb,NA,1,1,-8.51667,35.1667
Cyperus dilatatus,Cyperaceae,Cyperus,Poales,herb,NA,1,1,-8.26667,35.7167
Cyperus diurensis var. acuminato-squamatus,Cyperaceae,Cyperus,Poales,herb,NA,1,1,-5.01667,38.3833
Cyperus dubius subsp. dubius,Cyperaceae,Cyperus,Poales,herb,NA,1,1,-6.8,39.2833
Cyperus dubius var. steuactis,Cyperaceae,Cyperus,Poales,herb,NA,1,1,-5.1,38.7
Cyperus flavescens subsp. flavescens,Cyperaceae,Cyperus,Poales,herb,NA,1,1,-1.04083,31.5581
Cyperus fulgens,Cyperaceae,Cyperus,Poales,herb,NA,1,1,-8.60777,35.6167
Cyperus gigantobulbes,Cyperaceae,Cyperus,Poales,herb,NA,1,1,-7.1,38.4333
Cyperus graciliculmis,Cyperaceae,Cyperus,Poales,herb,NA,1,1,-6.38,36.93
Cyperus grandibulbosus,Cyperaceae,Cyperus,Poales,herb,NA,1,1,-3.36666,37.0333
Cyperus hirtellus,Cyperaceae,Cyperus,Poales,herb,NA,1,1,-8.51666,35.1667
Cyperus intermedius,Cyperaceae,Cyperus,Poales,herb,NA,1,1,-8.28333,37.0833
Cyperus kyllingia,Cyperaceae,Cyperus,Poales,herb,NA,1,1,-1.14,31.4425
Cyperus lanceolatus,Cyperaceae,Cyperus,Poales,herb,NA,1,1,-7.53194,36.1461
Cyperus macranthus,Cyperaceae,Cyperus,Poales,herb,NA,1,1,-1.32666,31.7903
Cyperus maculatus,Cyperaceae,Cyperus,Poales,herb,NA,1,1,-7,35.8333
Cyperus meeboldii,Cyperaceae,Cyperus,Poales,herb,NA,1,1,-7,35.8333
Cyperus michelianus subsp. pygmaeus,Cyperaceae,Cyperus,Poales,herb,NA,1,1,-8.5,38.5667
Cyperus micromariscus,Cyperaceae,Cyperus,Poales,herb,NA,1,1,-6.8,39.3
Cyperus microumbellatus,Cyperaceae,Cyperus,Poales,herb,NA,1,1,-10.7,35.4667
Cyperus nigripes var. grandiceps,Cyperaceae,Cyperus,Poales,herb,NA,1,1,-4.68333,38.1167
Cyperus nyassensis,Cyperaceae,Cyperus,Poales,herb,NA,1,1,-8.25,35.25
Cyperus obtusiflorus var. obtusiflorus,Cyperaceae,Cyperus,Poales,herb,NA,1,1,-8.51666,35.1667
Cyperus pectinatus,Cyperaceae,Cyperus,Poales,herb,NA,1,1,-3.6,37.6333
Cyperus permutatus,Cyperaceae,Cyperus,Poales,herb,NA,1,1,-1.00861,31.5
Cyperus pinguis,Cyperaceae,Cyperus,Poales,herb,NA,1,1,-1.04083,31.5581
Cyperus procerus,Cyperaceae,Cyperus,Poales,herb,NA,1,1,-7.88,31.5
Cyperus pseudovestitus,Cyperaceae,Cyperus,Poales,herb,NA,1,1,-8.66667,38.3667
Cyperus rehmannianus,Cyperaceae,Cyperus,Poales,herb,NA,1,1,-9.28333,33.6167
Cyperus remotus,Cyperaceae,Cyperus,Poales,herb,NA,1,1,-2.38333,34.7167
Cyperus richardii,Cyperaceae,Cyperus,Poales,herb,NA,1,1,-9.28333,33.6167
Cyperus simpsonii,Cyperaceae,Cyperus,Poales,herb,NA,1,1,-7,33.5
Cyperus tatandaensis,Cyperaceae,Cyperus,Poales,herb,NA,1,1,-8.55,31.48
Cyperus tenax var. pseudocastaneus,Cyperaceae,Cyperus,Poales,herb,NA,1,1,-5,30
Cyperus tenuiculmis var. guineensis,Cyperaceae,Cyperus,Poales,herb,NA,1,1,-10,34.5833
Cyperus turrillii,Cyperaceae,Cyperus,Poales,herb,NA,1,1,-5.4,30.47
Cyperus usitatus subsp. palmatus,Cyperaceae,Cyperus,Poales,herb,NA,1,1,-2.25,34.4833
Cyperus usitatus var. usitatus,Cyperaceae,Cyperus,Poales,herb,NA,1,1,-8.43333,38.55
Cyperus vestitus,Cyperaceae,Cyperus,Poales,herb,NA,1,1,-2.25,34.85
Cyphia ubenensis,Campanulaceae,Cyphia,Asterales,herb,NA,1,1,-9.03333,33.8167
Cyphostemma bidgoodiae,Vitaceae,Cyphostemma,Vitales,vine,NA,1,1,-10.15,39.25
Cyphostemma bororense,Vitaceae,Cyphostemma,Vitales,vine,climber,1,1,-8.62416,36.7117
Cyphostemma dysocarpum subsp. dysocarpum,Vitaceae,Cyphostemma,Vitales,vine,NA,1,1,-2.9,36.9
Cyphostemma elisabethvilleanum,Vitaceae,Cyphostemma,Vitales,herb,NA,1,1,-8.53333,31.5
Cyphostemma feddeanum,Vitaceae,Cyphostemma,Vitales,herb,NA,1,1,-6.21666,38.4
Cyphostemma hypoleucum,Vitaceae,Cyphostemma,Vitales,vine,NA,1,1,-9.98333,34.6
Cyphostemma kirkianum subsp. kirkianum,Vitaceae,Cyphostemma,Vitales,vine,NA,1,1,-4.27972,38.0297
Cyphostemma masukuense,Vitaceae,Cyphostemma,Vitales,vine,NA,1,1,-8.83333,33.3333
Cyphostemma masukuense subsp. masukuense,Vitaceae,Cyphostemma,Vitales,vine,NA,1,1,-8.96666,33.7
Cyphostemma masukuense subsp. nguruense,Vitaceae,Cyphostemma,Vitales,vine,NA,1,1,-6.1,37.4833
Cyphostemma muhuluense,Vitaceae,Cyphostemma,Vitales,vine,NA,1,1,-8.71666,36.6833
Cyphostemma sanctuarium-selousii,Vitaceae,Cyphostemma,Vitales,vine,NA,1,1,-8.61666,38.1333
Cyphostemma segmentatum,Vitaceae,Cyphostemma,Vitales,herb,NA,1,1,-8.83333,33.3333
Cyphostemma taborense,Vitaceae,Cyphostemma,Vitales,herb,NA,1,1,-5.07,32.93
Cyphostemma vanmeelii,Vitaceae,Cyphostemma,Vitales,shrub,NA,1,1,-8.5,31.4833
Cyrtanthus sanguineus subsp. minor,Amaryllidaceae,Cyrtanthus,Asparagales,herb,NA,1,1,-7.6,31.2833
Cyrtorchis praetermissa,Orchidaceae,Cyrtorchis,Asparagales,epiphyte,NA,1,1,-7.55167,36.1669
Cyrtorchis ringens,Orchidaceae,Cyrtorchis,Asparagales,epiphyte,NA,1,1,-9.36666,33.65
Dactyloctenium australe,Poaceae,Dactyloctenium,Poales,herb,NA,1,1,-8.27056,39.2267
Dactyloctenium geminatum,Poaceae,Dactyloctenium,Poales,herb,NA,1,1,-6.81666,39.2667
Dactyloctenium pilosum,Poaceae,Dactyloctenium,Poales,herb,NA,1,1,-8.27361,39.5944
Dalechampia capensis,Euphorbiaceae,Dalechampia,Malpighiales,vine,NA,1,1,-7.46667,30.7
Davallia denticulata,Polypodiaceae,Davallia,Polypodiales,epiphyte,NA,1,1,-1.07972,31.6267
Davallia denticulata var. denticulata,Polypodiaceae,Davallia,Polypodiales,epiphyte,NA,1,1,-6.15,37.5833
Delphinium dasycaulon,Ranunculaceae,Delphinium,Ranunculales,herb,NA,1,1,-8.48,31.5
Dendrolobium umbellatum,Fabaceae,Dendrolobium,Fabales,shrub,NA,1,1,-6.2525,39.2925
Deschampsia angusta,Poaceae,Deschampsia,Poales,herb,NA,1,1,-10.55,35.6
Desmodium barbatum var. argyreum,Fabaceae,Desmodium,Fabales,shrub,NA,1,1,-8.83333,33.3333
Desmodium barbatum var. procumbens,Fabaceae,Desmodium,Fabales,shrub,NA,1,1,-1.03972,31.5108
Desmodium cordifolium,Fabaceae,Desmodium,Fabales,herb,NA,1,1,-8.65,35.35
Desmodium salicifolium var. densiflorum,Fabaceae,Desmodium,Fabales,shrub,shrub,1,1,-6,30
Desmodium tanganyikense,Fabaceae,Desmodium,Fabales,shrub,NA,1,1,-8.58333,35.6667
Desmodium uncinatum,Fabaceae,Desmodium,Fabales,herb,NA,1,1,-4.66667,38.3333
Dialium orientale,Fabaceae,Dialium,Fabales,tree,NA,1,1,-5.06666,39.0833
Diceratostele gabonensis,Orchidaceae,Diceratostele,Asparagales,herb,NA,1,1,-9.74944,34.3403
Dichaetanthera erici-rosenii,Melastomataceae,Dichaetanthera,Myrtales,tree,NA,1,1,-8.58166,31.4908
Dichanthium aristatum,Poaceae,Dichanthium,Poales,herb,NA,1,1,-9.28333,38.3
Dichapetalum crassifolium,Dichapetalaceae,Dichapetalum,Malpighiales,liana,NA,1,1,-5.93833,30.2161
Dichapetalum deflexum,Dichapetalaceae,Dichapetalum,Malpighiales,shrub,NA,1,1,-6.02805,37.5397
Dichapetalum heudelotii var. heudelotii,Dichapetalaceae,Dichapetalum,Malpighiales,liana,shrub,1,1,-5.68333,29.9167
Dichapetalum lindicum,Dichapetalaceae,Dichapetalum,Malpighiales,liana,NA,1,1,-9.93638,39.4383
Dichondra repens,Convolvulaceae,Dichondra,Solanales,herb,NA,1,1,-7.11666,36.6333
Dichrocephala chrysanthemifolia var. chrysanthemifolia,Asteraceae,Dichrocephala,Asterales,herb,NA,1,1,-9.01667,33.7667
Dichrocephala integrifolia subsp. integrifolia,Asteraceae,Dichrocephala,Asterales,herb,NA,1,1,-8.85,33.2667
Dicliptera albicaulis,Acanthaceae,Dicliptera,Lamiales,herb,NA,1,1,-2.92389,36.7039
Dicliptera carvalhoi subsp. carvalhoi,Acanthaceae,Dicliptera,Lamiales,herb,NA,1,1,-7.51861,32.4728
Dicliptera carvalhoi subsp. erinacea,Acanthaceae,Dicliptera,Lamiales,herb,NA,1,1,-9,34.2333
Dicliptera carvalhoi subsp. nemorum,Acanthaceae,Dicliptera,Lamiales,herb,NA,1,1,-8.83972,33.2375
Dicliptera clinopodia,Acanthaceae,Dicliptera,Lamiales,herb,NA,1,1,-8.88333,33.4333
Dicliptera colorata,Acanthaceae,Dicliptera,Lamiales,herb,NA,1,1,-3.25,36.55
Dicliptera elliotii,Acanthaceae,Dicliptera,Lamiales,herb,NA,1,1,-1.05888,31.5983
Dicliptera pumila,Acanthaceae,Dicliptera,Lamiales,herb,NA,1,1,-8.56667,31.4833
Didymodoxa caffra,Urticaceae,Didymodoxa,Rosales,herb,NA,1,1,-3.28333,37.5167
Dietes grandiflora,Iridaceae,Dietes,Asparagales,herb,NA,1,1,-4.17083,37.9333
Digitaria brazzae,Poaceae,Digitaria,Poales,herb,NA,1,1,-4.86667,29.6333
Digitaria diagonalis var. diagonalis,Poaceae,Digitaria,Poales,herb,NA,1,1,-8.83333,33.3333
Digitaria leptorhachis,Poaceae,Digitaria,Poales,herb,NA,1,1,-3.3,36.7167
Digitaria nuda,Poaceae,Digitaria,Poales,herb,NA,1,1,-4.6775,29.6217
Digitaria siderograpta,Poaceae,Digitaria,Poales,herb,NA,1,1,-5.68333,29.9167
Digitaria uniglumis,Poaceae,Digitaria,Poales,herb,NA,1,1,-9.28333,33.6167
Dinebra retroflexa,Poaceae,Dinebra,Poales,herb,NA,1,1,-2.58027,33.4617
Dinebra retroflexa var. retroflexa,Poaceae,Dinebra,Poales,herb,NA,1,1,-4.75694,34.6167
Dinebra squarrosa,Poaceae,Dinebra,Poales,herb,NA,1,1,-9.11694,39.1786
Dioscorea abyssinica,Dioscoreaceae,Dioscorea,Dioscoreales,liana,herb,1,1,-9.28333,33.6167
Dioscorea hirtiflora subsp. pedicellata,Dioscoreaceae,Dioscorea,Dioscoreales,liana,herb,1,1,-7.76638,36.8983
Dioscorea preussii,Dioscoreaceae,Dioscorea,Dioscoreales,liana,climber,1,1,-5.0675,38.4055
Dioscorea sativa,Dioscoreaceae,Dioscorea,Dioscoreales,herb,NA,1,1,-9.28333,33.6167
Diospyros loureiriana,Ebenaceae,Diospyros,Ericales,shrub,NA,1,1,-10.3,39.3
Diospyros magogoana,Ebenaceae,Diospyros,Ericales,tree,NA,1,1,-10.1333,39.1833
Diospyros viridicans,Ebenaceae,Diospyros,Ericales,tree,NA,1,1,-8.78333,33.25
Diplachne caudata,Poaceae,Diplachne,Poales,herb,NA,1,1,-2.73333,34.9167
Diplazium zanzibaricum,Aspleniaceae,Diplazium,Polypodiales,herb,NA,1,1,-9.86666,34.6
Diplolophium africanum,Apiaceae,Diplolophium,Apiales,herb,NA,1,1,-4.34472,35.7672
Diplolophium zambesianum,Apiaceae,Diplolophium,Apiales,herb,NA,1,1,-5.48019,30.5923
Disa deckenii,Orchidaceae,Disa,Asparagales,herb,NA,1,1,-3.16666,37.5167
Disa erubescens subsp. erubescens,Orchidaceae,Disa,Asparagales,herb,NA,1,1,-8.58333,35.25
Disa satyriopsis,Orchidaceae,Disa,Asparagales,herb,NA,1,1,-9.28333,34.4333
Disa saxicola,Orchidaceae,Disa,Asparagales,herb,NA,1,1,-9.66666,34.6667
Disa ukingensis,Orchidaceae,Disa,Asparagales,herb,NA,1,1,-8.91666,34.0833
Disa zombica,Orchidaceae,Disa,Asparagales,herb,NA,1,1,-7.15,36.4
Disperis anthoceros var. grandiflora,Orchidaceae,Disperis,Asparagales,herb,NA,1,1,-8.83,33.33
Disperis johnstonii,Orchidaceae,Disperis,Asparagales,herb,NA,1,1,-9.28333,33.6167
Disperis kilimanjarica,Orchidaceae,Disperis,Asparagales,herb,NA,1,1,-3.23333,36.75
Disperis leuconeura,Orchidaceae,Disperis,Asparagales,herb,NA,1,1,-7.5,36.1667
Disperis nemorosa,Orchidaceae,Disperis,Asparagales,herb,NA,1,1,-3.75,37.65
Disperis parvifolia,Orchidaceae,Disperis,Asparagales,herb,NA,1,1,-9.03333,33.9167
Dissotis caloneura var. caloneura,Melastomataceae,Dissotis,Myrtales,shrub,NA,1,1,-5.5176,30.5766
Dissotis congolensis,Melastomataceae,Dissotis,Myrtales,herb,NA,1,1,-1.03833,31.5317
Dissotis denticulata,Melastomataceae,Dissotis,Myrtales,shrub,NA,1,1,-8.5,35.25
Dissotis melleri,Melastomataceae,Dissotis,Myrtales,shrub,NA,1,1,-9.13416,34.4186
Dissotis melleri var. melleri,Melastomataceae,Dissotis,Myrtales,shrub,NA,1,1,-9.88333,34.6333
Dissotis pachytricha var. orientalis,Melastomataceae,Dissotis,Myrtales,shrub,NA,1,1,-9.98333,34.6
Dissotis princeps,Melastomataceae,Dissotis,Myrtales,shrub,NA,1,1,-7.75,36.45
Dissotis princeps var. princeps,Melastomataceae,Dissotis,Myrtales,shrub,NA,1,1,-10.0333,34.6
Dolichos bianoensis subsp. orientalis,Fabaceae,Dolichos,Fabales,herb,NA,1,1,-8.31667,31.3333
Dolichos gululu,Fabaceae,Dolichos,Fabales,herb,NA,1,1,-8.58333,31.4167
Dolichos kilimandscharicus subsp. parviflorus,Fabaceae,Dolichos,Fabales,herb,NA,1,1,-9.18333,33.3
Dolichos lualabensis subsp. ufipaensis,Fabaceae,Dolichos,Fabales,herb,NA,1,1,-8.6,31.23
Dolichos petiolatus,Fabaceae,Dolichos,Fabales,herb,NA,1,1,-8.81666,32.7667
Dolichos pseudocajanus,Fabaceae,Dolichos,Fabales,shrub,NA,1,1,-4.86527,35.2644
Dolichos schweinfurthii,Fabaceae,Dolichos,Fabales,herb,NA,1,1,-4.21,35.69
Dolichos trilobus subsp. occidentalis,Fabaceae,Dolichos,Fabales,liana,climber,1,1,-1.06361,31.5467
Dolichos xiphophyllus,Fabaceae,Dolichos,Fabales,herb,NA,1,1,-8.83333,33.3333
Dombeya shupangae,Malvaceae,Dombeya,Malvales,shrub,NA,1,1,-8.46667,38.55
Dopatrium stachytarphetioides,Plantaginaceae,Dopatrium,Lamiales,herb,NA,1,1,-5.48,30.53
Dorstenia angusticornis,Moraceae,Dorstenia,Rosales,shrub,NA,1,1,-5.89305,37.7064
Dorstenia barnimiana,Moraceae,Dorstenia,Rosales,herb,NA,1,1,-8.93333,33.2167
Dorstenia buchananii var. buchananii,Moraceae,Dorstenia,Rosales,herb,NA,1,1,-9.6,39.5
Dorstenia cuspidata var. brinkmaniana,Moraceae,Dorstenia,Rosales,herb,NA,1,1,-4.66666,29.6333
Dorstenia cuspidata var. cuspidata,Moraceae,Dorstenia,Rosales,herb,NA,1,1,-6.36667,31.1333
Dovyalis hebecarpa,Salicaceae,Dovyalis,Malpighiales,shrub,NA,1,1,-9.33333,33.9833
Dovyalis zenkeri,Salicaceae,Dovyalis,Malpighiales,shrub,NA,1,1,-1.11666,31.4667
Dracaena arborea,Asparagaceae,Dracaena,Asparagales,tree,NA,1,1,-8,38.85
Dracaena aubryana,Asparagaceae,Dracaena,Asparagales,herb,NA,1,1,-6.8,39.2833
Dracaena butayei,Asparagaceae,Dracaena,Asparagales,herb,NA,1,1,-6.16667,39.3333
Dracaena elliptica,Asparagaceae,Dracaena,Asparagales,tree,NA,1,1,-9.08333,33.25
Dracaena gazaensis,Asparagaceae,Dracaena,Asparagales,shrub,NA,1,1,-7.85,39.7833
Dracaena nitens,Asparagaceae,Dracaena,Asparagales,shrub,NA,1,1,-9.56667,34.1333
Dracaena surculosa var. maculata,Asparagaceae,Dracaena,Asparagales,shrub,NA,1,1,-8.48333,31.2833
Dracaena viridiflora,Asparagaceae,Dracaena,Asparagales,shrub,NA,1,1,-1.08333,31.8333
Dregea crinita,Apocynaceae,Dregea,Gentianales,liana,NA,1,1,-6.90056,39.08
Dregea faulknerae,Apocynaceae,Dregea,Gentianales,liana,NA,1,1,-5.06667,38.4833
Drimia brachystachys,Asparagaceae,Drimia,Asparagales,herb,NA,1,1,-8.58333,38.45
Drimiopsis maculata,Asparagaceae,Drimiopsis,Asparagales,herb,NA,1,1,-8.47,38.45
Droguetia debilis,Urticaceae,Droguetia,Rosales,herb,NA,1,1,-3.28333,36.9167
Drosera indica,Droseraceae,Drosera,Caryophyllales,herb,NA,1,1,-7.83333,37.0833
Drymaria cordata var. cordata,Caryophyllaceae,Drymaria,Caryophyllales,herb,NA,1,1,-8.41666,35.75
Drypetes usambarica var. stylosa,Putranjivaceae,Drypetes,Malpighiales,tree,NA,1,1,-7.01667,37.8167
Dumasia villosa var. villosa,Fabaceae,Dumasia,Fabales,vine,climber,1,1,-6.06972,37.5722
Duosperma fimbriatum,Acanthaceae,Duosperma,Lamiales,herb,NA,1,1,-6.31667,31.0167
Duosperma livingstoniense,Acanthaceae,Duosperma,Lamiales,shrub,NA,1,1,-9.91667,34.55
Duosperma porotoense,Acanthaceae,Duosperma,Lamiales,herb,NA,1,1,-8.86667,34
Duosperma trachyphyllum,Acanthaceae,Duosperma,Lamiales,shrub,NA,1,1,-7.8,35.8
Dyschoriste kitongaensis,Acanthaceae,Dyschoriste,Lamiales,shrub,NA,1,1,-7.66667,36.25
Dyschoriste multicaulis,Acanthaceae,Dyschoriste,Lamiales,herb,NA,1,1,-4.75,38.3333
Dyschoriste mutica,Acanthaceae,Dyschoriste,Lamiales,herb,NA,1,1,-8.55,31.48
Dyschoriste nyassica,Acanthaceae,Dyschoriste,Lamiales,herb,NA,1,1,-9.51667,34.1
Dyschoriste sallyae,Acanthaceae,Dyschoriste,Lamiales,herb,NA,1,1,-7.06667,30.8833
Ecbolium viride,Acanthaceae,Ecbolium,Lamiales,shrub,NA,1,1,-7.5,36.85
Eccoptocarpha obconiciventris,Poaceae,Eccoptocarpha,Poales,herb,NA,1,1,-6.74056,30.9808
Echinochloa brevipedicellata,Poaceae,Echinochloa,Poales,herb,NA,1,1,-4.88333,34.9903
Echinochloa crus-galli,Poaceae,Echinochloa,Poales,herb,NA,1,1,-1.14833,31.5214
Echinochloa jubata,Poaceae,Echinochloa,Poales,herb,NA,1,1,-2.5825,33.415
Echinochloa ugandensis,Poaceae,Echinochloa,Poales,herb,NA,1,1,-2.64611,33.4342
Echinops giganteus,Asteraceae,Echinops,Asterales,herb,NA,1,1,-8.83333,33.3333
Edmondia pinifolia,Asteraceae,Edmondia,Asterales,NA,NA,1,1,-9.28333,33.6167
Ehretia glandulosissima,Boraginaceae,Ehretia,Boraginales,tree,NA,1,1,-10.1333,39.1833
Ehretia obtusifolia,Boraginaceae,Ehretia,Boraginales,shrub,NA,1,1,-7.78333,35.2167
Ehrharta erecta,Poaceae,Ehrharta,Poales,herb,NA,1,1,-6.08333,37.4167
Eichhornia natans,Pontederiaceae,Eichhornia,Commelinales,aquatic,NA,1,1,-8.2,37.0833
Elachyptera holtzii,Celastraceae,Elachyptera,Celastrales,liana,NA,1,1,-8.31583,38.9608
Elaphoglossum marojejyense,Polypodiaceae,Elaphoglossum,Polypodiales,epiphyte,NA,1,1,-4.27916,37.9706
Eleocharis atropurpurea,Cyperaceae,Eleocharis,Poales,herb,NA,1,1,-5.97,32.55
Eleocharis decoriglumis,Cyperaceae,Eleocharis,Poales,herb,NA,1,1,-8.28,37.08
Eleocharis dulcis,Cyperaceae,Eleocharis,Poales,herb,NA,1,1,-8.52,35.17
Eleocharis intricata,Cyperaceae,Eleocharis,Poales,herb,NA,1,1,-9.28333,33.6167
Eleocharis marginulata,Cyperaceae,Eleocharis,Poales,herb,NA,1,1,-9.28333,33.6167
Eleocharis retroflexa,Cyperaceae,Eleocharis,Poales,herb,NA,1,1,-1.32666,31.7903
Eleusine multiflora,Poaceae,Eleusine,Poales,herb,NA,1,1,-3.24888,36.5267
Embelia xylocarpa,Primulaceae,Embelia,Ericales,shrub,NA,1,1,-9.11667,38.2
Emelianthe panganensis,Loranthaceae,Emelianthe,Santalales,parasitic,NA,1,1,-4.14,35.9139
Emilia basifolia,Asteraceae,Emilia,Asterales,herb,NA,1,1,-8.53333,31.5
Emilia crispata,Asteraceae,Emilia,Asterales,herb,NA,1,1,-8,35.85
Emilia debilis,Asteraceae,Emilia,Asterales,herb,NA,1,1,-8.23,35.12
Emilia fugax,Asteraceae,Emilia,Asterales,herb,NA,1,1,-5.11667,32.5333
Emilia kilwensis,Asteraceae,Emilia,Asterales,herb,NA,1,1,-8.63333,38.5833
Emilia mbagoi,Asteraceae,Emilia,Asterales,herb,NA,1,1,-7.47,30.75
Emilia rigida,Asteraceae,Emilia,Asterales,herb,NA,1,1,-5.48,30.53
Emilia tricholepis,Asteraceae,Emilia,Asterales,herb,NA,1,1,-2.67388,36.7303
Empogona crepiniana,Rubiaceae,Empogona,Gentianales,shrub,NA,1,1,-5.05,38.6333
Empogona kirkii subsp. kirkii,Rubiaceae,Empogona,Gentianales,shrub,NA,1,1,-8.68333,38.35
Empogona ngalaensis,Rubiaceae,Empogona,Gentianales,shrub,NA,1,1,-10.0667,34.5667
Encephalartos bubalinus,Zamiaceae,Encephalartos,Cycadales,shrub,NA,1,1,-2.27,35.7
Encephalartos poggei,Zamiaceae,Encephalartos,Cycadales,shrub,NA,1,1,-6.1,30.6333
Encephalartos sclavoi,Zamiaceae,Encephalartos,Cycadales,shrub,NA,1,1,-4.7,38.2167
Endostemon albus,Lamiaceae,Endostemon,Lamiales,herb,NA,1,1,-6.8213800000000004,37.6064
Endostemon gracilis,Lamiaceae,Endostemon,Lamiales,herb,NA,1,1,-6.63333,39.2
Endostemon obtusifolius,Lamiaceae,Endostemon,Lamiales,shrub,NA,1,1,-8.61667,38.1
Endostemon tenuiflorus,Lamiaceae,Endostemon,Lamiales,herb,NA,1,1,-3.88333,37.95
Endostemon tereticaulis,Lamiaceae,Endostemon,Lamiales,herb,NA,1,1,-3.88333,37.95
Endostemon wakefieldii,Lamiaceae,Endostemon,Lamiales,herb,NA,1,1,-8.26667,37.0833
Englerina schubotziana,Loranthaceae,Englerina,Santalales,parasitic,NA,1,1,-1.08333,31.5167
Enicostema axillare,Gentianaceae,Enicostema,Gentianales,herb,NA,1,1,-4,35.7833
Enneapogon cenchroides,Poaceae,Enneapogon,Poales,herb,NA,1,1,-2.37833,34.8519
Entada bacillaris var. plurijuga,Fabaceae,Entada,Fabales,shrub,NA,1,1,-8.58333,31.45
Entandrophragma bussei,Meliaceae,Entandrophragma,Sapindales,tree,NA,1,1,-7.63333,36.2333
Enteropogon rupestris,Poaceae,Enteropogon,Poales,herb,NA,1,1,-4.23333,38.4
Enteropogon sechellensis,Poaceae,Enteropogon,Poales,herb,NA,1,1,-8.61667,38.3667
Epilobium capense,Onagraceae,Epilobium,Myrtales,herb,NA,1,1,-9,33.7
Epilobium stereophyllum,Onagraceae,Epilobium,Myrtales,herb,NA,1,1,-10.55,35.6
Epilobium stereophyllum var. kiwuense,Onagraceae,Epilobium,Myrtales,herb,NA,1,1,-4.28333,37.9167
Epipogium roseum,Orchidaceae,Epipogium,Asparagales,herb,NA,1,1,-9.86666,34.6
Eragrostiella bifaria,Poaceae,Eragrostiella,Poales,herb,NA,1,1,-7.11667,36.15
Eragrostis arenicola,Poaceae,Eragrostis,Poales,herb,NA,1,1,-6.63611,31.1392
Eragrostis aristiglumis,Poaceae,Eragrostis,Poales,herb,NA,1,1,-7.83333,34.8
Eragrostis bifaria,Poaceae,Eragrostis,Poales,herb,NA,1,1,-7.11667,36.15
Eragrostis chalarothyrsos,Poaceae,Eragrostis,Poales,herb,NA,1,1,-7.53194,36.1461
Eragrostis curvula,Poaceae,Eragrostis,Poales,herb,NA,1,1,-8.6,35.6167
Eragrostis exelliana,Poaceae,Eragrostis,Poales,herb,NA,1,1,-8.4,35.2
Eragrostis inamoena,Poaceae,Eragrostis,Poales,herb,NA,1,1,-6.7,39.225
Eragrostis pilosa,Poaceae,Eragrostis,Poales,herb,NA,1,1,-8.46667,38.55
Eragrostis poculiformis,Poaceae,Eragrostis,Poales,herb,NA,1,1,-6.05,30.93
Eragrostis procumbens,Poaceae,Eragrostis,Poales,herb,NA,1,1,-2.98333,35.35
Eragrostis schweinfurthii var. kiwuensis,Poaceae,Eragrostis,Poales,herb,NA,1,1,-3.23333,36.8
Eragrostis uzondoiensis,Poaceae,Eragrostis,Poales,herb,NA,1,1,-5.48,30.53
Eremomastax speciosa,Acanthaceae,Eremomastax,Lamiales,herb,NA,1,1,-1.04916,31.5458
Erianthemum alveatum,Loranthaceae,Erianthemum,Santalales,parasitic,NA,1,1,-4.91666,39.1
Erianthemum nyikense,Loranthaceae,Erianthemum,Santalales,parasitic,NA,1,1,-9.36666,33.65
Erianthemum schelei,Loranthaceae,Erianthemum,Santalales,parasitic,NA,1,1,-9.93333,34.5333
Erica kingaensis subsp. bequaertii,Ericaceae,Erica,Ericales,shrub,NA,1,1,-9.05,33.9167
Erica mannii,Ericaceae,Erica,Ericales,tree,NA,1,1,-7.55778,36.1631
Erica trimera,Ericaceae,Erica,Ericales,tree,NA,1,1,-7.11027,36.6408
Erica ventricosa,Ericaceae,Erica,Ericales,shrub,NA,1,1,-3.24833,36.7797
Eriocaulon bongense,Eriocaulaceae,Eriocaulon,Poales,herb,NA,1,1,-7.00444,30.9778
Eriocaulon burttii,Eriocaulaceae,Eriocaulon,Poales,herb,NA,1,1,-5.56666,34.2
Eriocaulon polhillii,Eriocaulaceae,Eriocaulon,Poales,herb,NA,1,1,-5.61778,34.6728
Eriocaulon selousii,Eriocaulaceae,Eriocaulon,Poales,herb,NA,1,1,-7.83,37.08
Eriocaulon setaceum,Eriocaulaceae,Eriocaulon,Poales,herb,NA,1,1,-5.5825,34.065
