species,family,genus,order,primary_habit,secondary_habit,n_records,n_coords,mean_lat,mean_lon
Gutenbergia polycephala,Asteraceae,Gutenbergia,Asterales,herb,NA,4,4,-7.2125675000000005,33.290075
Gutenbergia rueppellii,Asteraceae,Gutenbergia,Asterales,herb,NA,4,4,-5.6665925,34.926100000000005
Gutenbergia rueppellii var. rueppellii,Asteraceae,Gutenbergia,Asterales,herb,NA,4,4,-5.2718025,34.926525
Gymnosporia buchananii,Celastraceae,Gymnosporia,Celastrales,shrub,NA,4,4,-8.20097,33.4757
Gymnosporia obscura,Celastraceae,Gymnosporia,Celastrales,tree,NA,4,4,-3.0818725000000002,36.46235
Gymnosporia putterlickioides,Celastraceae,Gymnosporia,Celastrales,shrub,NA,4,4,-6.6497174999999995,35.1657
Habenaria macrura,Orchidaceae,Habenaria,Asparagales,herb,NA,4,4,-9.116665,33.875025
Habenaria richardsiae,Orchidaceae,Habenaria,Asparagales,herb,NA,4,4,-8.878332499999999,34.909175000000005
Harveya tanzanica,Orobanchaceae,Harveya,Lamiales,parasitic,NA,4,4,-6.0274675,37.676975
Haumaniastrum coriaceum subsp. attenuifolium,Lamiaceae,Haumaniastrum,Lamiales,shrub,NA,4,4,-5.5575,30.262500000000003
Haumaniastrum uniflorum,Lamiaceae,Haumaniastrum,Lamiales,herb,NA,4,4,-8.64,34.7425
Helichrysum mechowianum var. ceres,Asteraceae,Helichrysum,Asterales,herb,NA,4,4,-7.122427500000001,34.6293
Helichrysum panduratum,Asteraceae,Helichrysum,Asterales,herb,NA,4,4,-6.15958,34.692025
Helichrysum panduratum var. panduratum,Asteraceae,Helichrysum,Asterales,herb,NA,4,4,-7.680829999999999,36.14095
Heliotropium pectinatum subsp. harareense,Boraginaceae,Heliotropium,Boraginales,herb,NA,4,4,-7.7166625,33.312475
Heliotropium pectinatum subsp. pectinatum,Boraginaceae,Heliotropium,Boraginales,herb,NA,4,4,-5.37083,38.670825
Heliotropium supinum,Boraginaceae,Heliotropium,Boraginales,herb,NA,4,4,-5.7689575,35.7977
Hemionitis bergiana,Pteridaceae,Hemionitis,Polypodiales,herb,NA,4,4,-4.4234,33.818
Hemionitis pectiniformis,Pteridaceae,Hemionitis,Polypodiales,herb,NA,4,4,-6.8940875,31.250675
Heritiera littoralis,Malvaceae,Heritiera,Malvales,tree,NA,4,4,-5.662497500000001,39.4583
Hermannia glanduligera,Malvaceae,Hermannia,Malvales,herb,NA,4,4,-6.904165,36.12915
Heteropogon melanocarpus,Poaceae,Heteropogon,Poales,herb,NA,4,4,-6.071175,36.197225
Heywoodia lucens,Phyllanthaceae,Heywoodia,Malpighiales,tree,NA,4,4,-1.091175,31.44965
Hibiscus debeerstii,Malvaceae,Hibiscus,Malvales,shrub,NA,4,4,-8.6311775,33.0117
Hibiscus migeodii,Malvaceae,Hibiscus,Malvales,herb,NA,4,4,-7.301527500000001,36.2518
Hibiscus sidiformis,Malvaceae,Hibiscus,Malvales,herb,NA,4,4,-7.0425,36.270825
Hibiscus somalensis,Malvaceae,Hibiscus,Malvales,shrub,NA,4,4,-5.989995,36.3247
